[2026-02-28 09:29:12,061 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2026-02-28 09:29:17,537 ] 17 root - INFO - Initiate the dataingestion
[2026-02-28 09:29:22,109 ] 63 root - INFO - Performed train test split on the dataframe
[2026-02-28 09:29:22,109 ] 70 root - INFO - Exporting train and test file path
[2026-02-28 09:29:22,175 ] 80 root - INFO - Exported train and test file path
[2026-02-28 09:29:22,176 ] 20 root - INFO - Data initiaion completed
[2026-02-28 09:29:22,183 ] 24 root - INFO - initiate the data validation
[2026-02-28 09:29:22,246 ] 37 root - INFO - Required number of columns:2
[2026-02-28 09:29:22,246 ] 38 root - INFO - Data from ha columns:31
[2026-02-28 09:29:22,246 ] 37 root - INFO - Required number of columns:2
[2026-02-28 09:29:22,246 ] 38 root - INFO - Data from ha columns:31
[2026-02-28 09:29:22,395 ] 51 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-02-28 09:29:22,395 ] 53 root - INFO - starting data transformation
[2026-02-28 09:29:22,421 ] 36 root - INFO - Entered get_data_transformer method of Transfomation class
[2026-02-28 09:29:22,421 ] 42 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-28 09:29:22,452 ] 51 root - INFO - Entered the save_object method of MainUtils class
[2026-02-28 09:29:22,455 ] 56 root - INFO - exited the save_object method of MainUtils class
[2026-02-28 09:29:22,458 ] 33 root - INFO - Model Training sstared
[2026-02-28 09:31:07,931 ] 51 root - INFO - Entered the save_object method of MainUtils class
[2026-02-28 09:31:07,932 ] 56 root - INFO - exited the save_object method of MainUtils class
[2026-02-28 09:31:07,932 ] 110 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_28_2026_09_29_12\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915305505142166, precision_score=0.9903323262839879, recall_score=0.9927316777710479), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9725522326915199, precision_score=0.9595796281325788, recall_score=0.9858803986710963))
